object_id,image_id,word,label,score,target_score,best_neighbor,best_neighbor_score,tdev_margin,matched_phrase,gated_unit,removed_text,gated
6900,391158,dining table,1,0.11624800961464643,0.003751990385353565,cup,0.3572574555873871,-0.3535054652020335,table,sentence,"A cup can be seen placed on a surface, possibly a table or a counter, near the left side of the image.",1
13555,174113,orange,1,0.11541859189048409,0.004581408109515905,knife,0.5881715416908264,-0.5835901335813105,orange,sentence,The image features a white and orange cat sitting on a kitchen counter next to a microwave.,1
10075,271457,person,1,0.11536876752972602,0.0046312324702739716,bench,0.7235866785049438,-0.7189554460346699,people,sentence,"The bench is positioned in a grassy area, providing a comfortable spot for people to sit and enjoy the view.",1
14564,321217,person,1,0.11515741551294922,0.004842584487050772,bench,0.7704012393951416,-0.7655586549080908,people,sentence,"The bench appears to be a popular spot for people to sit and enjoy the view, as it is located in a prime location on the snowy hill.",1
8502,28826,person,1,0.11428969761356711,0.005710302386432886,bench,0.8086853623390198,-0.8029750599525869,people,sentence,"The beach is relatively empty, with no people visible in the scene.",1
12363,6213,bottle,1,0.11385087005794048,0.006149129942059517,sink,0.44960442185401917,-0.44345529191195965,bottles,sentence,"There are two bottles placed on the countertop, one closer to the sink and the other further away.",1
14262,279387,car,1,0.11282366503030061,0.007176334969699383,fire hydrant,0.9364404082298279,-0.9292640732601285,cars,sentence,"The street appears to be empty, with no cars or pedestrians visible.",1
14078,252403,sink,1,0.11258315749466419,0.007416842505335808,toothbrush,0.8019108176231384,-0.7944939751178026,sink,sentence,"The woman appears to be in a room, possibly a bathroom, as there is a sink visible in the background.",1
5283,175604,person,1,0.11197487160563468,0.00802512839436531,cup,0.6278026700019836,-0.6197775416076183,person,sentence,"In the background, there is a person partially visible, likely enjoying the meal or preparing to eat the doughnut and drink the coffee.",1
15666,474188,person,1,0.11196227826178073,0.008037721738219261,bench,0.8055358529090881,-0.7974981311708689,people,sentence,"The bench is positioned on the side of a hill, providing a comfortable spot for people to sit and enjoy the surrounding scenery.",1
6026,282046,person,1,0.11167709331959486,0.00832290668040514,bench,0.8597906827926636,-0.8514677761122584,people,sentence,"The beach appears to be empty, with no people or other objects visible in the scene.",1
5595,221502,person,1,0.11135937634855508,0.008640623651444912,bench,0.7924957275390625,-0.7838551038876176,person,sentence,"The plaque is dedicated to a person named Martha, who is remembered and honored by the bench.",1
14431,304341,person,1,0.11116280488669872,0.008837195113301277,bench,0.6740055084228516,-0.6651683133095503,people,sentence,"The building also has a bench located in front of it, providing a place for people to sit and relax.",1
13605,181627,person,1,0.1109780379384756,0.009021962061524391,cell phone,0.6258098483085632,-0.6167878862470388,person,sentence,"In addition to the pizza, there is a cell phone on the table, possibly belonging to the person who prepared or ordered the pizza.",1
428,57238,cup,1,0.11095444288104772,0.009045557118952274,chair,0.4047629237174988,-0.3957173665985465,cup,sentence,"A cup can be seen placed on the table, and a bowl is located on the left side of the table.",1
1726,246717,handbag,1,0.11035532306879758,0.009644676931202412,traffic light,0.5318799018859863,-0.5222352249547839,handbags,sentence,"In addition to the vehicles, there are several pedestrians walking along the sidewalk, some of them carrying handbags.",1
11226,428079,dining table,0,0.10967097047716379,0.010329029522836208,bowl,0.4733092784881592,-0.46298024896532297,table,sentence,"The image features a large, tall vase placed on a table in a room.",1
8639,47611,person,1,0.10956679459661245,0.010433205403387547,bench,0.4391157925128937,-0.42868258710950613,people,sentence,"The restaurant appears to be empty, with no people visible in the scene.",1
14635,330750,person,1,0.10932495061308145,0.010675049386918545,bench,0.728274405002594,-0.7175993556156754,people,sentence,"The bench is made of wood and is placed on a grassy area, providing a comfortable spot for people to sit and relax.",1
10480,328785,car,1,0.10912322428077459,0.010876775719225407,stop sign,0.8832430839538574,-0.872366308234632,car,sentence,"In the background, there is a tree and a car, suggesting that the scene takes place on a street or a road.",1
8130,559416,skis,1,0.1090151098370552,0.010984890162944794,dog,0.43120768666267395,-0.42022279649972916,ski,sentence,"The image features a man standing in a grassy field, holding a pair of ski poles.",1
10087,273688,bowl,1,0.10867763951420784,0.01132236048579216,fork,0.33427882194519043,-0.32295646145939827,bowl,sentence,"The table also has a bowl placed near the top left corner, possibly containing a side dish or condiment.",1
13939,231237,book,1,0.10854792304337024,0.011452076956629753,vase,0.744472861289978,-0.7330207843333483,books,sentence,"The table appears to be a dining table, and there are several books scattered around the table, possibly indicating a reading or studying area.",1
8982,103815,bench,1,0.10848665878176689,0.011513341218233109,baseball bat,0.7624399065971375,-0.7509265653789043,bench,sentence,"The scene is set on a baseball field, with a bench visible in the background.",1
460,63521,clock,1,0.108461684435606,0.011538315564393997,couch,0.5269156098365784,-0.5153772942721844,clock,sentence,"Additionally, there is a chair situated in the background, and a clock is mounted on the wall.",1
5486,205190,car,1,0.10843135964125394,0.011568640358746052,traffic light,0.34097638726234436,-0.3294077469035983,car,sentence,"Additionally, there is a car parked in the background, slightly behind the trains.",1
